,Camadas,FuncAtic,TaxaApren
0,"(9, 29)",logistc,0.001
1,"(9, 29)",logistc,0.003
2,"(9, 29)",tanh,0.001
3,"(9, 29)",tanh,0.003
4,"(10, 28)",logistc,0.001
5,"(10, 28)",logistc,0.003
6,"(10, 28)",tanh,0.001
7,"(10, 28)",tanh,0.003
8,"(11, 27)",logistc,0.001
9,"(11, 27)",logistc,0.003
10,"(11, 27)",tanh,0.001
11,"(11, 27)",tanh,0.003
12,"(12, 26)",logistc,0.001
13,"(12, 26)",logistc,0.003
14,"(12, 26)",tanh,0.001
15,"(12, 26)",tanh,0.003
16,"(13, 25)",logistc,0.001
17,"(13, 25)",logistc,0.003
18,"(13, 25)",tanh,0.001
19,"(13, 25)",tanh,0.003
20,"(14, 24)",logistc,0.001
21,"(14, 24)",logistc,0.003
22,"(14, 24)",tanh,0.001
23,"(14, 24)",tanh,0.003
24,"(15, 23)",logistc,0.001
25,"(15, 23)",logistc,0.003
26,"(15, 23)",tanh,0.001
27,"(15, 23)",tanh,0.003
28,"(16, 22)",logistc,0.001
29,"(16, 22)",logistc,0.003
30,"(16, 22)",tanh,0.001
31,"(16, 22)",tanh,0.003
32,"(17, 21)",logistc,0.001
33,"(17, 21)",logistc,0.003
34,"(17, 21)",tanh,0.001
35,"(17, 21)",tanh,0.003
36,"(18, 20)",logistc,0.001
37,"(18, 20)",logistc,0.003
38,"(18, 20)",tanh,0.001
39,"(18, 20)",tanh,0.003
40,"(19, 19)",logistc,0.001
41,"(19, 19)",logistc,0.003
42,"(19, 19)",tanh,0.001
43,"(19, 19)",tanh,0.003
44,"(20, 18)",logistc,0.001
45,"(20, 18)",logistc,0.003
46,"(20, 18)",tanh,0.001
47,"(20, 18)",tanh,0.003
48,"(21, 17)",logistc,0.001
49,"(21, 17)",logistc,0.003
50,"(21, 17)",tanh,0.001
51,"(21, 17)",tanh,0.003
52,"(22, 16)",logistc,0.001
53,"(22, 16)",logistc,0.003
54,"(22, 16)",tanh,0.001
55,"(22, 16)",tanh,0.003
56,"(23, 15)",logistc,0.001
57,"(23, 15)",logistc,0.003
58,"(23, 15)",tanh,0.001
59,"(23, 15)",tanh,0.003
60,"(24, 14)",logistc,0.001
61,"(24, 14)",logistc,0.003
62,"(24, 14)",tanh,0.001
63,"(24, 14)",tanh,0.003
64,"(25, 13)",logistc,0.001
65,"(25, 13)",logistc,0.003
66,"(25, 13)",tanh,0.001
67,"(25, 13)",tanh,0.003
68,"(26, 12)",logistc,0.001
69,"(26, 12)",logistc,0.003
70,"(26, 12)",tanh,0.001
71,"(26, 12)",tanh,0.003
72,"(27, 11)",logistc,0.001
73,"(27, 11)",logistc,0.003
74,"(27, 11)",tanh,0.001
75,"(27, 11)",tanh,0.003
76,"(28, 10)",logistc,0.001
77,"(28, 10)",logistc,0.003
78,"(28, 10)",tanh,0.001
79,"(28, 10)",tanh,0.003
80,"(29, 9)",logistc,0.001
81,"(29, 9)",logistc,0.003
82,"(29, 9)",tanh,0.001
83,"(29, 9)",tanh,0.003
84,"(9,)",logistc,0.001
85,"(9,)",logistc,0.003
86,"(9,)",tanh,0.001
87,"(9,)",tanh,0.003
88,"(10,)",logistc,0.001
89,"(10,)",logistc,0.003
90,"(10,)",tanh,0.001
91,"(10,)",tanh,0.003
92,"(11,)",logistc,0.001
93,"(11,)",logistc,0.003
94,"(11,)",tanh,0.001
95,"(11,)",tanh,0.003
96,"(12,)",logistc,0.001
97,"(12,)",logistc,0.003
98,"(12,)",tanh,0.001
99,"(12,)",tanh,0.003
100,"(13,)",logistc,0.001
101,"(13,)",logistc,0.003
102,"(13,)",tanh,0.001
