,Acuracia,Arquitetura,F-N,F-P,Funcao_ativ,Taxa_aprend,V-N,V-P,F-Score
0,0.8079239151213917,"(8,)",33305,6819,tanh,0.003,6576,23042,0.5345675575352635
1,0.7961670808640795,"(7,)",32499,7626,tanh,0.003,6589,23029,0.5344209414849797
2,0.8150449244886255,"(26,)",33869,6256,logistic,0.003,6643,22976,0.5338476015660397
3,0.8112693557637163,"(7,)",33679,6446,logistic,0.001,6716,22902,0.5330447229689628
4,0.8185815331676544,"(23,)",34192,5933,logistic,0.003,6719,22899,0.5330121154987606
5,0.8233607340852609,"(24,)",34579,5546,logistic,0.003,6773,22846,0.5324352983674563
6,0.8254157904798318,"(19, 9)",34725,5399,tanh,0.003,6776,22842,0.5323979116166324
7,0.8206365895622252,"(26,)",34455,5669,logistic,0.003,6839,22779,0.5317102775378726
8,0.8252246224431274,"(11, 17)",34802,5323,logistic,0.003,6866,22752,0.5314087517079494
9,0.8103135155801949,"(8,)",33782,6343,tanh,0.003,6886,22732,0.5311897556929044
