,Acuracia,Arquitetura,F-N,F-P,Funcao_ativ,Taxa_aprend,V-N,V-P,F-Score
0,0.8700792393026942,"(10,)",48668,9483,tanh,0.001,4179,42832,0.5956541389980183
1,0.9276386687797148,"(9, 10)",54728,3423,tanh,0.003,4186,42825,0.5956147731935105
2,0.9049128367670364,"(8, 11)",52562,5589,tanh,0.001,4409,42602,0.5943566670154511
3,0.6774643423137876,"(5,)",28752,29399,tanh,0.001,4519,42492,0.5937331889474972
4,0.9100475435816164,"(15,)",53421,4729,logistic,0.003,4729,42282,0.592541726810264
5,0.9235816164817751,"(15,)",54981,3169,tanh,0.003,4866,42145,0.5917579331648414
6,0.7226307448494453,"(5,)",33942,24209,logistic,0.003,4959,42052,0.5912199922674072
7,0.690649762282092,"(7,)",30609,27542,logistic,0.003,4989,42022,0.5910475051865396
8,0.9234548335974644,"(10, 9)",55098,3053,tanh,0.003,4996,42015,0.5910072372539228
9,0.913946117274168,"(11, 8)",54135,4016,tanh,0.003,5033,41978,0.59079426066274
